cups	∪︀	\cup
hslash	ℏ	\hslash
llcorner	⌞	\llcorner
nvgt	>⃒	\gt
capand	⩄	\not_defined
nvge	≥⃒	\geq
frac13	⅓	\onethird
frac25	⅖	\twofifths
numero	№	\textnumero
ntilde	ñ	\ntilde
equest	≟	\questionedeq
ntgl	≹	\ngtrless
nsupE	⫆̸	\supseteqq
leftarrowtail	↢	\leftarrowtail
b.kappav	𝛞	\not_defined
nsucceq	⪰̸	\succeq
Agr	Α	\greekAlpha
lacute	ĺ	\lacute
nsubE	⫅̸	\subseteqq
Dgr	Δ	\greekDelta
Egr	Ε	\greekEpsilon
Bgr	Β	\greekBeta
iquest	¿	\questiondown
nsub	⊄	\nsubset
nsqsupe	⋣	\nsqsupseteq
nspar	∦	\nparallel
Oslash	Ø	\Ostroke
asympeq	≍	\asymp
nRightarrow	⇏	\nRightarrow
nsimeq	≄	\nsimeq
nshortmid	∤	\ndivides
frac38	⅜	\threeeighths
cong	≅	\approxEq
lurdshar	⥊	\not_defined
gsiml	⪐	\not_defined
nsce	⪰̸	\succeq
nsc	⊁	\nsucc
cirscir	⧂	\not_defined
nrArr	⇏	\nRightarrow
gtquest	⩼	\not_defined
npreceq	⪯̸	\preceq
yacy	я	\cyrillicya
dagger	†	\textdag
nprcue	⋠	\npreccurlyeq
Gammad	Ϝ	\digamma
dollar	$	\textdollar
notnivc	⋽	\not_defined
NotGreaterEqual	≱	\ngeq
notinE	⋹̸	\not_defined
not	¬	\textlognot
nmid	∤	\ndivides
nless	≮	\nless
nleftrightarrow	↮	\nleftrightarrow
nldr	‥	\not_defined
lBarr	⤎	\not_defined
DownLeftVector	↽	\leftharpoondown
Otimes	⨷	\not_defined
ni	∋	\ni
nhpar	⫲	\not_defined
ngsim	≵	\ngtrsim
sqcups	⊔︀	\sqcup
ngeq	≱	\ngeq
nfr	𝔫	\not_defined
frac45	⅘	\fourfifths
nexists	∄	\nexists
nesim	≂̸	\eqsim
nedot	≐̸	\not_defined
nearr	↗	\nearrow
fnof	ƒ	\fhook
neArr	⇗	\Nearrow
ltcc	⪦	\not_defined
questeq	≟	\questionedeq
angmsdae	⦬	\not_defined
ncaron	ň	\ncaron
minusdu	⨪	\not_defined
frasl	⁄	\textfraction
nbumpe	≏̸	\not_defined
nbump	≎̸	\Bumpeq
napid	≋̸	\not_defined
nVdash	⊮	\nVdash
nLeftarrow	⇍	\nLeftarrow
equivDD	⩸	\not_defined
swarr	↙	\swarrow
nwarr	↖	\nwarrow
ltquest	⩻	\not_defined
multimap	⊸	\multimap
mstpos	∾	\not_defined
gimel	ℷ	\gimel
mp	∓	\mp
mldr	…	\textellipsis
Cross	⨯	\not_defined
because	∵	\because
ratio	∶	\colon
mfr	𝔪	\not_defined
measuredangle	∡	\measuredangle
mcy	м	\cyrillicm
cwconint	∲	\ointclockwise
Utilde	Ũ	\Utilde
Uring	Ů	\Uring
lvertneqq	≨︀	\lneqq
UnderParenthesis	⏝	\underparent
DownArrowBar	⤓	\not_defined
nsubset	⊂⃒	\subset
ltlarr	⥶	\not_defined
lthree	⋋	\leftthreetimes
lt	<	\lt
lsquo	‘	\quoteleft
lscr	𝓁	\not_defined
strns	¯	\textmacron
DownRightVector	⇁	\rightharpoondown
lrtri	⊿	\not_defined
Sub	⋐	\Subset
hscr	𝒽	\not_defined
b.phiv	𝛟	\not_defined
lrarr	⇆	\leftrightarrows
lpar	(	\lparent
lozenge	◊	\lozenge
loz	◊	\lozenge
aring	å	\aring
lowbar	_	\textunderscore
b.phi	𝛗	\not_defined
lopar	⦅	\not_defined
looparrowright	↬	\looparrowright
longrightarrow	⟶	\longrightarrow
longleftarrow	⟵	\longleftarrow
bbrktbrk	⎶	\not_defined
loang	⟬	\not_defined
llarr	⇇	\leftleftarrows
lgr	λ	\greeklambda
lg	≶	\lessgtr
uring	ů	\uring
lesg	⋚︀	\lesseqgtr
curlyeqsucc	⋟	\curlyeqsucc
sigma	σ	\greeksigma
lescc	⪨	\not_defined
les	⩽	\leqslant
leftrightsquigarrow	↭	\leftrightsquigarrow
bull	•	\textbullet
Dagger	‡	\textddag
leftrightarrow	↔	\leftrightarrow
gammad	ϝ	\greekdigamma
Cayleys	ℭ	\not_defined
nsup	⊅	\nsupset
sub	⊂	\subset
ldquo	“	\quotedblleft
b.kappa	𝛋	\not_defined
aacute	á	\aacute
lcaron	ľ	\lcaron
LessFullEqual	≦	\leqq
capcup	⩇	\not_defined
ContourIntegral	∮	\oint
lbrksld	⦏	\not_defined
Qfr	𝔔	\not_defined
lbrace	{	\textbraceleft
doublebarwedge	⌆	\not_defined
lbarr	⤌	\dashedleftarrow
larrtl	↢	\leftarrowtail
bigtriangleup	△	\triangle
lates	⪭︀	\not_defined
late	⪭	\not_defined
varepsilon	ϵ	\greekepsilonalt
lArr	⇐	\Leftarrow
larrb	⇤	\barleftarrow
qprime	⁗	\not_defined
sdotb	⊡	\boxdot
hArr	⇔	\Leftrightarrow
luruhar	⥦	\not_defined
nlarr	↚	\nleftarrow
olarr	↺	\circlearrowright
boxdl	┐	\not_defined
thkap	≈	\approx
LessLess	⪡	\not_defined
Star	⋆	\star
aogon	ą	\aogonek
CirclePlus	⊕	\oplus
kappav	ϰ	\varkappa
nvHarr	⤄	\not_defined
itilde	ĩ	\itilde
Qscr	𝒬	\not_defined
iogon	į	\iogonek
Rscr	ℛ	\not_defined
incare	℅	\not_defined
bprime	‵	\not_defined
Ccedil	Ç	\Ccedilla
imped	Ƶ	\Zstroke
imof	⊷	\not_defined
imacr	ī	\imacron
Gcedil	Ģ	\Gcommaaccent
gneq	⪈	\rneq
igr	ι	\greekiota
icirc	î	\icircumflex
hstrok	ħ	\hstroke
lrhar	⇋	\leftrightharpoons
lrcorner	⌟	\lrcorner
niv	∋	\ni
hoarr	⇿	\leftrightarrowtriangle
hercon	⊹	\not_defined
hcirc	ĥ	\hcircumflex
hbar	ℏ	\hslash
hamilt	ℋ	\not_defined
half	½	\onehalf
hairsp	 	\hairspace
ThinSpace	 	\breakablethinspace
gtrless	≷	\gtrless
gtrarr	⥸	\not_defined
gtcc	⪧	\not_defined
gt	>	\gt
gsim	≳	\gtrsim
rdldhar	⥩	\not_defined
grave	`	\textgrave
gopf	𝕘	\not_defined
iiiint	⨌	\not_defined
glE	⪒	\not_defined
gl	≷	\gtrless
caron	ˇ	\textcaron
ggr	γ	\greekgamma
gesles	⪔	\not_defined
dArr	⇓	\Downarrow
preccurlyeq	≼	\preccurlyeq
gdot	ġ	\gdotaccent
frac15	⅕	\onefifth
gacute	ǵ	\gacute
frac56	⅚	\fivesixths
frac18	⅛	\oneeighth
ecirc	ê	\ecircumflex
frac16	⅙	\onesixth
gcirc	ĝ	\gcircumflex
EmptySmallSquare	◻	\not_defined
LessGreater	≶	\lessgtr
jcirc	ĵ	\jcircumflex
frac12	½	\onehalf
fllig	ﬂ	\flligature
filig	ﬁ	\filigature
ffr	𝔣	\not_defined
ocirc	ô	\ocircumflex
fcy	ф	\cyrillicf
exist	∃	\exists
esim	≂	\eqsim
scirc	ŝ	\scircumflex
Hacek	ˇ	\textcaron
Ucirc	Û	\Ucircumflex
Wopf	𝕎	\not_defined
Wcirc	Ŵ	\Wcircumflex
eqcirc	≖	\eqcirc
Ycirc	Ŷ	\Ycircumflex
epsiv	ϵ	\greekepsilonalt
nwnear	⤧	\not_defined
emsp14	 	\fourperemspace
dlcrop	⌍	\not_defined
eopf	𝕖	\not_defined
boxvH	╪	\not_defined
rlhar	⇌	\rightleftharpoons
acirc	â	\acircumflex
emsp13	 	\threeperemspace
ccirc	ĉ	\ccircumflex
emptyv	∅	\emptyset
Ecirc	Ê	\Ecircumflex
dscr	𝒹	\not_defined
Gcirc	Ĝ	\Gcircumflex
Hcirc	Ĥ	\Hcircumflex
Icirc	Î	\Icircumflex
Jcirc	Ĵ	\Jcircumflex
NotTildeEqual	≄	\nsimeq
egsdot	⪘	\not_defined
verbar	|	\textbar
spar	∥	\parallel
LeftTee	⊣	\dashv
ecaron	ě	\ecaron
duarr	⇵	\downuparrows
LeftDownTeeVector	⥡	\not_defined
Scirc	Ŝ	\Scircumflex
dtri	▿	\not_defined
els	⪕	\eqslantless
drbkarow	⤐	\not_defined
downharpoonright	⇂	\downharpoonright
doteqdot	≑	\doteqdot
dot	˙	\textdotaccent
caret	⁁	\not_defined
npar	∦	\nparallel
epar	⋕	\not_defined
div	÷	\textdiv
digamma	ϝ	\greekdigamma
UpperLeftArrow	↖	\nwarrow
otimesas	⨶	\not_defined
Acirc	Â	\Acircumflex
dgr	δ	\greekdelta
Ccirc	Ĉ	\Ccircumflex
demptyv	⦱	\not_defined
ddagger	‡	\textddag
dd	ⅆ	\differentiald
dash	‐	\not_defined
marker	▮	\not_defined
cuwed	⋏	\curlywedge
curvearrowright	↷	\curvearrowright
b.Sigma	𝚺	\not_defined
topfork	⫚	\not_defined
lesdotor	⪃	\not_defined
curarrm	⤼	\not_defined
cupcap	⩆	\not_defined
cularr	↶	\curvearrowleft
HumpEqual	≏	\not_defined
csup	⫐	\not_defined
varrho	ϱ	\greekrhoalt
cross	✗	\not_defined
ldquor	„	\quotedblbase
suphsub	⫗	\not_defined
congdot	⩭	\not_defined
complement	∁	\complement
clubsuit	♣	\clubsuit
DZcy	Џ	\cyrillicDZHE
rdquor	”	\quotedblright
boxvL	╡	\not_defined
centerdot	·	\periodcentered
fflig	ﬀ	\ffligature
ccedil	ç	\ccedilla
caps	∩︀	\cap
bsolb	⧅	\not_defined
tritime	⨻	\not_defined
boxvR	╞	\not_defined
circledS	Ⓢ	\circledS
b.nu	𝛎	\not_defined
oelig	œ	\oeligature
boxDr	╓	\not_defined
bot	⊥	\bot
block	█	\not_defined
bigvee	⋁	\bigvee
prop	∝	\propto
bgr	β	\greekbeta
bfr	𝔟	\not_defined
minusb	⊟	\boxminus
nvle	≤⃒	\leq
loarr	⇽	\leftarrowtriangle
bbrk	⎵	\not_defined
b.psi	𝛙	\not_defined
horbar	―	\texthorizontalbar
GreaterGreater	⪢	\not_defined
Diamond	⋄	\diamond
b.iota	𝛊	\not_defined
wcirc	ŵ	\wcircumflex
aelig	æ	\aeligature
ycirc	ŷ	\ycircumflex
SupersetEqual	⊇	\supseteq
UpEquilibrium	⥮	\not_defined
curvearrowleft	↶	\curvearrowleft
b.Psi	𝚿	\not_defined
zwj	‍	\zwj
psgr	ψ	\greekpsi
atilde	ã	\atilde
ape	≊	\approxeq
NotSquareSubsetEqual	⋢	\nsqsubseteq
apacir	⩯	\not_defined
kcedil	ķ	\kcommaaccent
upsilon	υ	\greekupsilon
NotTildeTilde	≉	\napprox
angrtvbd	⦝	\not_defined
angmsdag	⦮	\not_defined
ncedil	ņ	\ncommaaccent
b.gamma	𝛄	\not_defined
lcedil	ļ	\lcommaaccent
scedil	ş	\scedilla
equiv	≡	\equiv
Vvdash	⊪	\Vvdash
Vopf	𝕍	\not_defined
VerticalSeparator	❘	\not_defined
DoubleLeftArrow	⇐	\Leftarrow
macr	¯	\textmacron
tcedil	ţ	\tcedilla
RightCeiling	⌉	\rceiling
diamond	⋄	\diamond
Lscr	ℒ	\not_defined
UnderBar	_	\textunderscore
boxUr	╙	\not_defined
Tcedil	Ţ	\Tcedilla
b.epsiv	𝛜	\not_defined
Nu	Ν	\greekNu
precnsim	⋨	\precnsim
Sigma	Σ	\greekSigma
Proportional	∝	\propto
Sacute	Ś	\Sacute
integers	ℤ	\integers
RightVectorBar	⥓	\not_defined
RightTeeVector	⥛	\not_defined
RightTee	⊢	\vdash
Kcedil	Ķ	\Kcommaaccent
Upsilon	Υ	\greekUpsilon
RightAngleBracket	⟩	\rangle
Pi	Π	\greekPi
iprod	⨼	\not_defined
Ncedil	Ņ	\Ncommaaccent
lbrke	⦋	\not_defined
Lcedil	Ļ	\Lcommaaccent
Scedil	Ş	\Scedilla
Rcedil	Ŗ	\Rcommaaccent
OverBar	‾	\not_defined
hookleftarrow	↩	\hookleftarrow
NotGreaterLess	≹	\ngtrless
Ocirc	Ô	\Ocircumflex
OElig	Œ	\OEligature
SquareSubsetEqual	⊑	\sqsubseteq
DotEqual	≐	\not_defined
Epsilon	Ε	\greekEpsilon
lsaquo	‹	\guilsingleleft
NotTilde	≁	\nsim
angzarr	⍼	\not_defined
notinvc	⋶	\not_defined
LeftUpVector	↿	\upharpoonleft
NestedGreaterGreater	≫	\gg
Union	⋃	\bigcup
LowerLeftArrow	↙	\swarrow
NotEqual	≠	\neq
Implies	⇒	\Rightarrow
HilbertSpace	ℋ	\not_defined
Gt	≫	\gg
GreaterEqual	≥	\geq
Dscr	𝒟	\not_defined
