cups	∪︀	\cup
quot	"	\quotedbl
epsi	ε	\greekepsilon
Iuml	Ï	\Idiaeresis
Euml	Ë	\Ediaeresis
precsim	≾	\precsim
notni	∌	\nni
infintie	⧝	\not_defined
isinE	⋹	\not_defined
nvdash	⊬	\nvdash
boxHD	╦	\not_defined
notinva	∉	\nin
backepsilon	϶	\backepsilon
Rightarrow	⇒	\Rightarrow
LeftTeeArrow	↤	\mapsfrom
OverParenthesis	⏜	\overparent
csub	⫏	\not_defined
NotCongruent	≢	\nequiv
ohacgr	ώ	\greekomegatonos
Assign	≔	\colonequals
eDDot	⩷	\not_defined
rhov	ϱ	\greekrhoalt
yuml	ÿ	\ydiaeresis
cuepr	⋞	\curlyeqprec
mDDot	∺	\not_defined
uuml	ü	\udiaeresis
lsqb	[	\lbrack
rsqb	]	\rbrack
rbrack	]	\rbrack
lbrack	[	\lbrack
efDot	≒	\fallingdotseq
pre	⪯	\preceq
larrsim	⥳	\not_defined
auml	ä	\adiaeresis
rarrsim	⥴	\not_defined
Intersection	⋂	\bigcap
Vdashl	⫦	\not_defined
DoubleRightArrow	⇒	\Rightarrow
Yuml	Ÿ	\Ydiaeresis
Uuml	Ü	\Udiaeresis
ouml	ö	\odiaeresis
leftrightharpoons	⇋	\leftrightharpoons
iuml	ï	\idiaeresis
euml	ë	\ediaeresis
LongLeftRightArrow	⟷	\longleftrightarrow
DoubleVerticalBar	∥	\parallel
vsubnE	⫋︀	\subsetneqq
abreve	ă	\abreve
NotLessLess	≪̸	\ll
eta	η	\greeketa
gvertneqq	≩︀	\gneqq
UpArrow	↑	\uparrow
nge	≱	\ngeq
mlcp	⫛	\not_defined
NotSucceeds	⊁	\nsucc
Ubreve	Ŭ	\Ubreve
VerticalBar	∣	\divides
Updownarrow	⇕	\Updownarrow
gbreve	ğ	\gbreve
qint	⨌	\not_defined
boxH	═	\not_defined
Abreve	Ă	\Abreve
part	∂	\partial
oint	∮	\oint
Eta	Η	\greekEta
boxdR	╒	\not_defined
RightTeeArrow	↦	\mapsto
RightTriangleEqual	⊵	\not_defined
NotRightTriangle	⋫	\ntriangleleft
updownarrow	↕	\updownarrow
boxVL	╣	\not_defined
Gbreve	Ğ	\Gbreve
LeftFloor	⌊	\lfloor
sqcup	⊔	\sqcup
zwnj	‌	\zwnj
Equal	⩵	\not_defined
subseteqq	⫅	\subseteqq
b.Gammad	𝟊	\not_defined
circledast	⊛	\circledast
dblac	˝	\texthungarumlaut
VeryThinSpace	 	\hairspace
thicksim	∼	\sim
SquareUnion	⊔	\sqcup
ubreve	ŭ	\ubreve
subsub	⫕	\not_defined
zigrarr	⇝	\rightsquigarrow
NonBreakingSpace	 	\nobreakspace
gEl	⪌	\gtreqqless
npart	∂̸	\partial
ShortRightArrow	→	\rightarrow
nLl	⋘̸	\lll
npr	⊀	\nprec
ulcorn	⌜	\ulcorner
bumpE	⪮	\not_defined
period	.	\mathperiod
SuchThat	∋	\ni
MinusPlus	∓	\mp
NotLessTilde	≴	\nlesssim
Element	∈	\in
precapprox	⪷	\precapprox
RuleDelayed	⧴	\not_defined
ShortDownArrow	↓	\downarrow
zeetrf	ℨ	\not_defined
THORN	Þ	\Thorn
omacr	ō	\omacron
LT	<	\lt
vartheta	ϑ	\greekthetaalt
nle	≰	\nleq
RBarr	⤐	\not_defined
PSgr	Ψ	\greekPsi
GT	>	\gt
dlcorn	⌞	\llcorner
DoubleLongLeftArrow	⟸	\Longleftarrow
CircleTimes	⊗	\otimes
QUOT	"	\quotedbl
Imacr	Ī	\Imacron
Omacr	Ō	\Omacron
DDotrahd	⤑	\dottedrightarrow
angle	∠	\angle
Umacr	Ū	\Umacron
xvee	⋁	\bigvee
die	¨	\textdiaeresis
Vert	‖	\Vert
emacr	ē	\emacron
